순번,상호,지역,1등 자동 당첨 건수
170,행복드림 복권,인천 서구,1
171,이유복권,인천 서구,1
172,홍이복권방,인천 서구,1
173,복덩이 로또,인천 연수구,1
174,윤,인천 미추홀구,1
175,돈방석,인천 남동구,1
176,골든벨 복권판매점,인천 미추홀구,1
177,대박신화복권판매점,인천 미추홀구,1
178,황금돼지,인천 미추홀구,1
179,노다지복권방백운점,광주 남구,1
180,역전복권방,광주 광산구,1
181,해피+24시편의점,광주 북구,1
182,동키호테편의점,광주 서구,1
183,광주도서유통,광주 남구,1
184,알리바이,광주 광산구,1
185,복권나라,광주 북구,1
186,천하명당복권방,광주 서구,1
187,차밍플라워 로또,광주 광산구,1
188,복권나라(중흥점),광주 북구,1
189,광주공항로또,광주 광산구,1
190,현대마트점,광주 서구,1
191,복권나라(매곡동),광주 북구,1
192,금집복권,광주 북구,1
193,대전하이퍼,대전 중구,1
194,복권명당,대전 서구,1
195,로또복권방,대전 서구,1
196,로또편의점,대전 유성구,1
197,로또명당 황금돼지,대전 중구,1
198,마치복권,대전 서구,1
199,까치로또판매점,대전 서구,1
200,왕대박 복권판매점,대전 유성구,1
201,대박로또,대전 중구,1
202,베스토아(용전2호),대전 동구,1
203,한꿈복권방,울산 중구,1
204,보람복권방,울산 남구,1
205,우리들공업탑점,울산 남구,1
206,로또25시,울산 남구,1
207,로또명당진하점,울산 울주군,1
208,지에스25(울산우정선경점)로또,울산 중구,1
209,세븐일레븐 울산동진점,울산 동구,1
210,예가유통,울산 북구,1
211,또로또,울산 남구,1
212,동성슈퍼,울산 울주군,1
213,영화유통(1등복권방),울산 남구,1
214,셀피아,울산 북구,1
215,노다지복권방,경기 시흥시,1
216,송정복권,경기 군포시,1
217,대운복권,경기 성남시 중원구,1
218,천하명당복권방,경기 수원시 팔달구,1
219,해피마트,경기 의왕시,1
220,운수대통,경기 군포시,1
221,리버스 편의점,경기 하남시,1
222,공원슈퍼,경기 수원시 장안구,1
223,터미널식품,경기 의정부시,1
224,복권판매점,경기 고양시 일산서구,1
225,버스표가판점,경기 안양시 동안구,1
226,바로전산,경기 광명시,1
227,만물전파사,경기 남양주시,1
228,로또N삭스,경기 의정부시,1
229,웅진,경기 수원시 영통구,1
230,다들복권방,경기 부천시 오정구,1
231,카베,경기 부천시 원미구,1
232,복권나라,경기 오산시,1
233,로토피아,경기 광명시,1
234,로또명당상동점,경기 부천시 소사구,1
235,그린마트,경기 성남시 분당구,1
236,명당골복권방,경기 수원시 권선구,1
237,로또복권방,경기 시흥시,1
238,머니머니,경기 시흥시,1
239,로또명당,경기 시흥시,1
240,광성슈퍼,경기 이천시,1
241,황금복권마트,경기 이천시,1
242,행운복권방,경기 김포시,1
243,세븐일레븐 평내지원점,경기 남양주시,1
244,우리로또복권,경기 연천군,1
245,서울로또,경기 의정부시,1
246,복권나라,경기 포천시,1
247,올인 (all in),경기 화성시,1
248,드림복권방,경기 수원시 권선구,1
249,세븐일레븐 안산역점,경기 안산시 단원구,1
250,로또유통,경기 안산시 단원구,1
251,로또판매선부점,경기 안산시 단원구,1
252,행운을주는로또판매점,경기 안산시 단원구,1
253,순살로복권,경기 의왕시,1
254,복돼지복권방,경기 화성시,1
255,꿈이있는로또,경기 여주시,1
256,마두5번출구가판로또,경기 고양시 일산동구,1
257,아이지에이마트 오산무지개점,경기 오산시,1
258,로또복권슈퍼(국제꽃화원),경기 의정부시,1
259,평택포승점로또,경기 평택시,1
260,100억로또점,경기 김포시,1
261,153나눔로또편의점,경기 성남시 분당구,1
262,로또복권,경기 오산시,1
263,주몽동명,경기 용인시 수지구,1
264,천하명당,경기 파주시,1
265,바른,경기 하남시,1
266,동탄복권방,경기 화성시,1
267,온누리로또,경기 수원시 권선구,1
268,비휴 로또,경기 오산시,1
269,복권전문점,경기 시흥시,1
270,하남시청 세븐일레븐 로또,경기 하남시,1
271,교통카드충전소,경기 용인시 처인구,1
272,로또편의점,경기 김포시,1
273,새희망복권,경기 화성시,1
274,화랑로또판매점,경기 화성시,1
275,1등로또,경기 화성시,1
276,로또복권편의점,경기 수원시 권선구,1
277,정통복권방,경기 수원시 팔달구,1
278,남문시장,경기 수원시 팔달구,1
279,로또카페,경기 평택시,1
280,오남 로또택배,경기 남양주시,1
281,행운복권,경기 군포시,1
282,새말편의점,경기 안성시,1
283,신의한수,경기 화성시,1
284,씨유 포천인생역전점,경기 포천시,1
285,고양행복복권,경기 고양시 덕양구,1
286,씨월드,경기 남양주시,1
287,월산리주고받는로또,경기 남양주시,1
288,한방복권,경기 파주시,1
289,대운로또(씨스페이스),경기 화성시,1
290,한아름 복권,경기 김포시,1
291,드림 복권판매점,경기 부천시 원미구,1
292,천하명당,경기 안산시 단원구,1
293,지에스25 안성칠곡,경기 안성시,1
294,황금복권판매점,경기 양주시,1
295,365대박찬스,경기 양주시,1
296,동탄호수복권,경기 화성시,1
297,동행복권(로또복권),경기 남양주시,1
298,대운상사,경기 남양주시,1
299,영앤로또,경기 남양주시,1
300,1번지복권방,경기 성남시 중원구,1
301,수원역로또맛집,경기 수원시 팔달구,1
302,아이지에이마트 동명사랑점,경기 안산시 단원구,1
303,똥광 로또 복권방,경기 안산시 단원구,1
304,당첨쑥쑥복권,경기 의왕시,1
305,한빛3단지 천지인,경기 파주시,1
306,탄현대박로또복권,경기 파주시,1
307,로또월롱명당점,경기 파주시,1
308,복권판매점,경기 광명시,1
309,행복나눔로또,경기 남양주시,1
310,민복권,경기 동두천시,1
311,복이만석,경기 수원시 영통구,1
312,행운강림 로또방,경기 안산시 상록구,1
313,초이스 복권판매점,경기 안성시,1
314,양평 대명점,경기 양평군,1
315,성강동인,경기 하남시,1
316,로또명당 일산점,경기 고양시 일산서구,1
317,지바,경기 광명시,1
318,오늘도로또,경기 부천시 원미구,1
319,씨유용인청덕중앙점,경기 용인시 기흥구,1
320,두근두근로또복권,경기 고양시 일산동구,1
321,달려라 복권방,경기 남양주시,1
322,골드러시,경기 성남시 중원구,1
323,홈런1등로또,경기 수원시 장안구,1
324,일등복권방,경기 시흥시,1
325,복권맛집,경기 포천시,1
326,행운의집,경기 오산시,1
327,즉석복권방,경기 수원시 영통구,1
328,대박,경기 구리시,1
329,삼성복권방,경기 동두천시,1
330,대박복권방,경기 안산시 단원구,1
331,주택복권방,경기 안양시 만안구,1
332,행운복권방,경기 포천시,1
333,천하명당,경기 시흥시,1
334,코사마트역전점,경기 평택시,1
335,불티나,강원 춘천시,1
336,유성로또복권상회,강원 원주시,1
337,영월로또명당,강원 영월군,1
338,백억만로또,강원 춘천시,1
339,속초등대로또복권,강원 속초시,1
340,탑,강원 원주시,1
341,행운로또방,강원 화천군,1
342,대관령복권방,강원 평창군,1
343,교동복권,강원 강릉시,1
344,유니로또,강원 원주시,1
345,노다지복권,강원 삼척시,1
346,대박의터,강원 춘천시,1
347,복권마트 & 씨스페이스 홍천점,강원 홍천군,1
348,대박찬스,충북 청주시 흥덕구,1
349,행운의명당로-토토,충북 청주시 서원구,1
350,만복편의점,충북 청주시 흥덕구,1
351,로또복권방,충북 청주시 청원구,1
352,오창중앙복권,충북 청주시 청원구,1
353,해수로또,충북 청주시 상당구,1
354,선경로또,충북 제천시,1
355,행운로또,충북 진천군,1
356,럭키로또복권판매점,충북 청주시 상당구,1
357,쿡쿡로또명당,충북 옥천군,1
358,별복권방,충북 청주시 흥덕구,1
359,희망복권방,충북 청주시 흥덕구,1
360,씨유 율량칸타빌 4차점,충북 청주시 청원구,1
361,동남운천복권,충북 청주시 상당구,1
362,노란공인중개사사무소,충북 청주시 흥덕구,1
363,스마일로또,충북 제천시,1
364,세븐복권,충북 증평군,1
365,비하로또명당,충북 청주시 흥덕구,1
366,바다 복권판매점,충북 청주시 청원구,1
367,썬마트,충북 청주시 흥덕구,1
368,천하명당복권방,충남 홍성군,1
369,필로또복권,충남 서산시,1
370,신천하명당,충남 예산군,1
371,로또복권두정점,충남 천안시 서북구,1
372,영약국,충남 금산군,1
373,꿀사랑,충남 논산시,1
374,GS25석문센트럴점,충남 당진시,1
375,이마트24 용두휴게소,충남 천안시 동남구,1
376,터미널분식,충남 부여군,1
377,천안명당병천점,충남 천안시 동남구,1
378,예스복권방,충남 천안시 동남구,1
379,로또명당 풍세산단점,충남 천안시 동남구,1
380,행운의집로또,충남 아산시,1
381,대박복권 성점점,충남 천안시 서북구,1
382,강경복권방,충남 논산시,1
383,팡팡복권마트.잡화슈퍼,전북 전주시 덕진구,1
384,제일마트,전북 군산시,1
385,동남슈퍼,전북 부안군,1
386,팡팡복권방,전북 익산시,1
387,행운복권방 보생당건강원,전북 익산시,1
388,왕대박로또,전북 전주시 덕진구,1
389,효자로또판매점,전북 전주시 완산구,1
390,로또로복권,전북 전주시 완산구,1
391,명당로또 풍남문점,전북 전주시 완산구,1
392,행복자리,전북 군산시,1
393,행운복권방,전북 고창군,1
394,복권나라,전북 군산시,1
395,베스트올수성점,전북 정읍시,1
396,훼미리마트 우아대로점,전북 전주시 덕진구,1
397,복권세상,전남 목포시,1
398,복권나라동성점,전남 순천시,1
399,일레븐마트무선점,전남 여수시,1
400,나눔로또편의점,전남 광양시,1
401,조례로또복권방,전남 순천시,1
402,행복나눔,전남 담양군,1
403,로또복권,전남 순천시,1
404,금호 동행복권,전남 영암군,1
405,대광복권판매점,전남 강진군,1
406,또니로또연구소 한꼴토토,전남 순천시,1
407,학동복권나라,전남 여수시,1
408,복권전문점(고흥),전남 고흥군,1
409,하당복권방,전남 목포시,1
410,명품복권방,전남 목포시,1
411,하나유통,경북 경산시,1
412,복권명당,경북 경산시,1
413,씨스페이스 경주세방매점,경북 경주시,1
414,성심상회,경북 포항시 북구,1
415,KOREA마트,경북 구미시,1
416,코리아25옥계점,경북 구미시,1
417,로또복권보성점,경북 포항시 북구,1
418,로또복권,경북 김천시,1
419,로또복권,대구 군위군,1
420,복권명당,경북 구미시,1
421,왕릉복권,경북 고령군,1
422,영일대 복권방,경북 포항시 북구,1
423,완산로또방,경북 영천시,1
424,역전로또,경북 구미시,1
425,필승로또복권판매점,경북 상주시,1
426,공단로또명당,경북 포항시 남구,1
427,대박드림,경북 포항시 북구,1
428,GMART,경북 구미시,1
429,복권나라,경북 포항시 북구,1
430,양산노다지복권방,경남 양산시,1
431,로또복권 하대점,경남 진주시,1
432,로또통신,경남 김해시,1
433,만물할인슈퍼,경남 창원시 성산구,1
434,복권파는집,경남 창원시 마산회원구,1
435,진빈레코드,경남 밀양시,1
436,소답시내버스매표소,경남 창원시 의창구,1
437,꿈의가게,경남 김해시,1
438,로또행운마트,경남 김해시,1
439,대동복권방,경남 김해시,1
440,행운로또복권방,경남 창원시 진해구,1
441,합천우리복권방,경남 합천군,1
442,대풍로또판매점,경남 김해시,1
443,돈보따리,경남 양산시,1
444,공단로또점,경남 함안군,1
445,승원롯또판매,경남 창원시 의창구,1
446,세븐일레븐진해경화위브점 ,경남 창원시 진해구,1
447,드림복권,경남 김해시,1
448,복권판매점,경남 고성군,1
449,지에스(GS)25 진동에이스점,경남 창원시 마산합포구,1
450,해보라마트,경남 김해시,1
451,지에스(GS25)뉴양산혜인점,경남 양산시,1
452,스마일,경남 양산시,1
453,창원로또명당,경남 창원시 성산구,1
454,제이에이치마켓,경남 창원시 의창구,1
455,드림로또,경남 창원시 진해구,1
456,용남복권,경남 통영시,1
457,대우 행복 복권,경남 거제시,1
458,조선복권,경남 창원시 의창구,1
459,로또플렉스 시티세븐점,경남 창원시 성산구,1
460,땅땅낚시,경남 거제시,1
461,복슈퍼,경남 김해시,1
462,만물가게,제주 제주시,1
463,돈벼락 복권,제주 제주시,1
